,winner_index,loser_index
481,678,1171
482,1171,1282
483,677,1282
484,677,1282
485,179,1401
486,1401,720
487,1401,720
488,1401,33
489,1418,824
490,1418,1116
491,1075,1227
492,458,639
493,639,458
494,639,458
495,458,639
496,921,791
497,218,802
498,218,802
499,218,802
500,218,802
501,218,802
502,1126,894
503,1126,894
504,894,1126
505,810,894
506,810,894
507,810,894
508,1135,972
509,1135,972
510,321,600
511,600,321
512,600,321
513,600,321
514,600,321
515,600,437
516,1020,1409
517,1020,1409
518,1384,470
519,470,1384
520,665,470
521,470,665
522,1121,470
523,874,470
524,903,1232
525,339,699
526,382,1066
527,853,17
528,853,17
529,853,17
530,897,172
531,897,172
532,897,172
533,172,897
534,897,172
535,694,555
536,555,694
537,694,555
538,555,694
539,1358,450
540,434,515
541,824,515
542,493,572
543,572,609
544,572,1251
545,493,609
546,1094,609
547,493,609
548,609,1094
549,1251,609
550,1094,609
551,572,609
552,609,1251
553,493,609
554,303,646
555,303,646
556,303,646
557,303,1061
558,303,1061
559,303,1061
560,303,1061
561,303,1061
562,303,1061
563,303,646
564,303,646
565,303,646
566,303,646
567,303,646
568,303,646
569,190,97
570,607,97
571,97,804
572,97,804
573,804,97
574,479,1191
575,1198,847
576,1198,847
577,1198,847
578,1198,847
579,1278,57
580,1276,971
581,710,971
582,15,1215
583,456,961
584,456,500
585,1066,1387
586,563,369
587,1074,369
588,563,369
589,1253,5
590,1124,406
591,1124,813
592,813,1124
593,960,705
594,705,960
595,705,960
596,705,960
597,705,960
598,705,960
599,787,1299
600,787,1299
601,787,1299
602,589,1170
603,589,103
604,589,1019
605,302,589
606,1086,1070
607,605,774
608,1333,1393
609,1333,1393
610,1333,1393
611,1393,1333
612,1333,1393
613,666,1393
614,666,1393
615,666,1393
616,666,1393
617,1393,666
618,1144,1393
619,1144,1393
620,1144,1393
621,612,188
622,188,612
623,188,612
624,612,188
625,612,188
626,188,612
627,188,612
628,612,188
629,612,188
630,612,188
631,188,612
632,1105,1035
633,1073,1035
634,1035,103
635,936,1035
636,846,1035
637,1035,1019
638,1257,1008
639,1008,1257
640,1298,1257
641,1298,1257
642,1298,1257
643,1298,1257
644,1109,565
645,1109,565
646,565,870
647,870,565
648,1126,740
649,1126,740
650,740,1122
651,766,18
652,766,18
653,18,766
654,766,18
655,766,18
656,16,570
657,16,570
658,16,570
659,16,570
660,663,886
661,886,663
662,663,886
663,886,663
664,886,663
665,442,663
666,663,442
667,663,1348
668,663,1348
669,663,1348
670,663,1348
671,1348,663
672,722,233
673,722,233
674,1318,614
675,1086,614
676,1431,414
677,1431,414
678,1431,414
679,1431,414
680,1431,414
681,1431,414
682,1431,414
683,1431,414
684,1431,414
685,1431,414
686,1431,414
687,15,232
688,15,232
689,661,273
690,536,661
691,1014,661
692,15,661
693,500,661
694,261,28
695,28,261
696,28,261
697,28,261
